episode,vanilla,mean_baseline,critic,rloo
0,35.0,37.0,16.0,11.0
1,12.0,50.0,15.0,39.0
2,12.0,16.0,23.0,25.0
3,10.0,41.0,60.0,30.0
4,12.0,21.0,32.0,11.0
5,11.0,30.0,52.0,26.0
6,29.0,17.0,12.0,10.0
7,10.0,21.0,12.0,15.0
8,14.0,49.0,19.0,11.0
9,21.0,26.0,68.0,28.0
10,14.0,14.0,18.0,21.0
11,33.0,14.0,33.0,13.0
12,14.0,15.0,13.0,27.0
13,18.0,26.0,16.0,15.0
14,10.0,15.0,31.0,12.0
15,52.0,13.0,11.0,13.0
16,12.0,25.0,15.0,30.0
17,16.0,18.0,38.0,15.0
18,22.0,8.0,32.0,38.0
19,20.0,11.0,18.0,13.0
20,28.0,23.0,16.0,11.0
21,13.0,23.0,10.0,28.0
22,19.0,12.0,38.0,10.0
23,20.0,68.0,22.0,11.0
24,11.0,15.0,12.0,20.0
25,35.0,50.0,23.0,15.0
26,9.0,16.0,11.0,17.0
27,11.0,26.0,47.0,21.0
28,35.0,16.0,13.0,28.0
29,15.0,44.0,23.0,22.0
30,18.0,58.0,15.0,9.0
31,22.0,27.0,41.0,19.0
32,19.0,33.0,32.0,17.0
33,14.0,36.0,10.0,45.0
34,31.0,74.0,22.0,19.0
35,17.0,31.0,19.0,17.0
36,11.0,42.0,49.0,46.0
37,30.0,14.0,33.0,11.0
38,34.0,11.0,27.0,39.0
39,16.0,62.0,30.0,16.0
40,11.0,13.0,25.0,21.0
41,13.0,12.0,48.0,23.0
42,16.0,37.0,18.0,14.0
43,24.0,9.0,9.0,17.0
44,45.0,45.0,27.0,83.0
45,19.0,37.0,43.0,25.0
46,13.0,29.0,21.0,11.0
47,24.0,59.0,11.0,17.0
48,21.0,18.0,29.0,19.0
49,11.0,20.0,16.0,21.0
50,20.0,19.0,29.0,30.0
51,16.0,26.0,20.0,30.0
52,12.0,20.0,19.0,22.0
53,26.0,59.0,28.0,18.0
54,11.0,77.0,14.0,14.0
55,12.0,28.0,15.0,15.0
56,19.0,21.0,20.0,15.0
57,23.0,15.0,27.0,107.0
58,22.0,31.0,29.0,14.0
59,13.0,33.0,34.0,20.0
